# Site / URL inventory — every HTTP-servable hostname across all Cloudflare zones.
# Generated from the Cloudflare API + per-host cloudflared configs.
# Columns: hostname  zone  rectype  edge_kind  edge  proxied
#   edge_kind : tunnel | origin | alias | saas
#   edge      : tunnel name, origin IP, CNAME target, or SaaS provider
# Regenerate the health column with:  ./bin/url-audit
#
# hostname	zone	rectype	edge_kind	edge	proxied
7.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
acme.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
aiapi.yohay.ai	yohay.ai	A	origin	31.187.74.8	no
api.yohay.ai	yohay.ai	A	origin	213.32.69.7	yes
bit001.yohay.ai	yohay.ai	A	origin	194.146.12.114	no
bit.yohay.ai	yohay.ai	A	origin	213.32.69.7	yes
bo.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
brn.yohay.ai	yohay.ai	A	origin	84.247.130.13	no
cld.yohay.ai	yohay.ai	A	origin	167.86.110.205	no
customers.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
dev.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
df001.yohay.ai	yohay.ai	A	origin	84.247.130.13	no
docker.yohay.ai	yohay.ai	A	origin	152.228.142.1	no
fmsec.yohay.ai	yohay.ai	A	origin	51.195.88.44	yes
hub.yohay.ai	yohay.ai	A	origin	45.88.191.3	no
k8s.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
ks8-aster.yohay.ai	yohay.ai	A	origin	51.195.88.44	yes
ks8-webui.yohay.ai	yohay.ai	A	origin	51.195.88.44	yes
lib.yohay.ai	yohay.ai	A	origin	45.88.191.3	no
llm-mcp.yohay.ai	yohay.ai	A	origin	45.88.191.3	no
mc001.yohay.ai	yohay.ai	A	origin	194.146.12.114	no
mcui001.yohay.ai	yohay.ai	A	origin	194.146.12.114	no
netdata.yohay.ai	yohay.ai	A	origin	45.88.191.3	yes
nitay.yohay.ai	yohay.ai	A	origin	51.195.88.44	yes
pbx.yohay.ai	yohay.ai	A	origin	162.19.126.209	no
proxy.safewatch.yohay.ai	yohay.ai	A	origin	51.195.88.44	yes
safewatch.yohay.ai	yohay.ai	A	origin	213.32.69.7	yes
servers.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
sip.yohay.ai	yohay.ai	A	origin	162.19.126.209	no
status.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
sw.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
vm01.yohay.ai	yohay.ai	A	origin	152.228.142.1	no
vpsgit.yohay.ai	yohay.ai	A	origin	45.88.191.3	no
vpsn8n.yohay.ai	yohay.ai	A	origin	45.88.191.3	no
vpsuptime.yohay.ai	yohay.ai	A	origin	45.88.191.3	no
wpbit.yohay.ai	yohay.ai	A	origin	162.19.126.209	yes
wpgame2.yohay.ai	yohay.ai	A	origin	213.32.69.7	yes
32.yohay.ai	yohay.ai	CNAME	tunnel	gama2	yes
admin.yohay.ai	yohay.ai	CNAME	tunnel	vpsall-yohay	yes
agent1.yohay.ai	yohay.ai	CNAME	tunnel	5060ihome	yes
