# host	zone	edge	verdict	http	detail
32.yohay.ai	yohay.ai	gama2	TUNNEL_DOWN	530	cf 1033 — no cloudflared connected
7.yohay.ai	yohay.ai	162.19.126.209	TIMEOUT	-	Operation timed out after 15002 milliseconds with 0 bytes received
acme.yohay.ai	yohay.ai	162.19.126.209	TIMEOUT	-	Operation timed out after 15001 milliseconds with 0 bytes received
ad.yohayai.com	yohayai.com	storai-wp	NO_INGRESS	404	tunnel up, no ingress rule (probed from IL)
adai.yohayai.com	yohayai.com	dgxsec	TUNNEL_DOWN	530	cf 1033 — no cloudflared connected (probed from IL)
admin-gama2.yohayai.com	yohayai.com	gama2	TUNNEL_DOWN	530	cf 1033 — no cloudflared connected
admin.yohay.ai	yohay.ai	vpsall-yohay	OK	200	0.878446s
agent1.yohay.ai	yohay.ai	5060ihome	SERVICE_DOWN	502	edge up, backend not answering (http 502)
agent2.yohay.ai	yohay.ai	5060ihome	SERVICE_DOWN	502	edge up, backend not answering (http 502)
agents.yohay.ai	yohay.ai	5060ihome	SERVICE_DOWN	502	edge up, backend not answering (http 502)
ai.yohay.ai	yohay.ai	wix	TLS_FAIL	-	OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to ai.yohay.ai:443 
aiapi.yohay.ai	yohay.ai	31.187.74.8	TLS_FAIL	-	OpenSSL/3.0.13: error:0A000438:SSL routines::tlsv1 alert internal error
aiapi.yohayai.com	yohayai.com	31.187.74.8	NOT_FOUND	404	0.496747s
all.yohay.ai	yohay.ai	gama2	AUTH_SSO	302	Cloudflare Access login
allai.yohay.ai	yohay.ai	dioneto	OK	200	0.651315s
analytics.yohayai.com	yohayai.com	storai-wp	AUTH_SSO	302	Cloudflare Access login (probed from IL)
annima.ai	annima.ai	wix	REDIRECT	301	-> https://www.annima.ai/
api.owalai.com	owalai.com	34.45.166.153	TIMEOUT	-	Operation timed out after 15001 milliseconds with 0 bytes received
api.yohay.ai	yohay.ai	213.32.69.7	REDIRECT	302	-> https://api.yohay.ai/app/login.html
api.yohayai.com	yohayai.com	dgxmain	AUTH_SSO	302	Cloudflare Access login (probed from IL)
arc.yohay.ai	yohay.ai	arcai-wp	AUTH_SSO	302	Cloudflare Access login
arcai.yohayai.com	yohayai.com	arcai-wp	AUTH_SSO	302	Cloudflare Access login
astbit.yohay.ai	yohay.ai	5060ihome	OK	200	0.697049s
aster-arcai.yohayai.com	yohayai.com	arcai-wp	AUTH_SSO	302	Cloudflare Access login
aster-dgxmain.yohayai.com	yohayai.com	dgxmain	AUTH_SSO	302	Cloudflare Access login
aster-dgxsec.yohayai.com	yohayai.com	dgxsec	AUTH_SSO	302	Cloudflare Access login
aster-gama2.yohayai.com	yohayai.com	213.32.69.7	ORIGIN_TLS_FAIL	525	cf 525 — origin TLS handshake failed
aster-storai.yohayai.com	yohayai.com	storai-wp	AUTH_SSO	302	Cloudflare Access login
aster.yohay.ai	yohay.ai	5060ihome	AUTH	401	http 401 — service up, credentials required
astermcp.vpsall.owalai.com	owalai.com	vpsall.owalai.com	TLS_FAIL	-	OpenSSL/3.0.13: error:0A000410:SSL routines::sslv3 alert handshake failure
astmcp.yohay.ai	yohay.ai	5060ihome	NO_INGRESS	404	tunnel up, no ingress rule for this hostname
auth.yohay.ai	yohay.ai	gama2	TUNNEL_DOWN	530	cf 1033 — no cloudflared connected
beszel.vpsall.owalai.com	owalai.com	vpsall.owalai.com	TLS_FAIL	-	OpenSSL/3.0.13: error:0A000410:SSL routines::sslv3 alert handshake failure
bit.yohay.ai	yohay.ai	213.32.69.7	OK	200	1.833526s
bit001.yohay.ai	yohay.ai	194.146.12.114	OK	200	0.870563s
bitfin.yohay.ai	yohay.ai	bitfin-arena	OK	200	0.714792s
bo.yohay.ai	yohay.ai	162.19.126.209	TIMEOUT	-	Operation timed out after 15002 milliseconds with 0 bytes received
boot.yohay.ai	yohay.ai	storai-wp	NO_INGRESS	404	tunnel up, no ingress rule for this hostname
brain.yohay.ai	yohay.ai	gama2	TUNNEL_DOWN	530	cf 1033 — no cloudflared connected
bridge.yohay.ai	yohay.ai	5060ihome	SERVICE_DOWN	502	edge up, backend not answering (http 502)
brn.yohay.ai	yohay.ai	84.247.130.13	OK	200	1.009261s
ca.yohayai.com	yohayai.com	storai-wp	NO_INGRESS	404	tunnel up, no ingress rule (probed from IL)
cam.yohay.ai	yohay.ai	dgxmain-web	OK	200	0.676524s
chat.yohay.ai	yohay.ai	5060ihome	SERVICE_DOWN	502	edge up, backend not answering (http 502)
chat.yohayai.com	yohayai.com	storai-wp	AUTH_SSO	302	Cloudflare Access login (probed from IL)
chroma.vpsall.owalai.com	owalai.com	vpsall.owalai.com	TLS_FAIL	-	OpenSSL/3.0.13: error:0A000410:SSL routines::sslv3 alert handshake failure
